order_id	affiliate_id	product_id	commission	status
293	141	179	175000.00	added
294	141	179	175000.00	added
295	141	179	175000.00	cancelled
297	141	179	175000.00	cancelled
298	141	179	175000.00	added
299	141	179	175000.00	added
300	170	179	175000.00	added
301	141	179	175000.00	added
302	170	179	175000.00	added
303	141	179	175000.00	added
304	141	179	175000.00	cancelled
305	141	179	175000.00	cancelled
306	170	179	175000.00	added
307	170	179	175000.00	cancelled
308	170	179	175000.00	cancelled
309	170	179	175000.00	added
310	257	179	175000.00	added
311	170	179	175000.00	added
312	141	179	175000.00	cancelled
313	104	179	175000.00	cancelled
314	170	179	175000.00	added
315	141	179	175000.00	added
316	141	179	175000.00	added
317	141	179	175000.00	added
318	170	179	175000.00	added
319	53	179	175000.00	cancelled
320	53	179	175000.00	cancelled
321	53	179	175000.00	added
322	141	179	175000.00	added
323	145	179	175000.00	added
324	141	179	175000.00	cancelled
325	104	179	175000.00	added
326	141	179	175000.00	cancelled
327	141	179	175000.00	cancelled
328	141	179	175000.00	added
329	141	179	175000.00	cancelled
330	170	179	175000.00	added
331	113	179	175000.00	cancelled
332	141	179	175000.00	added
333	141	179	175000.00	added
334	141	179	175000.00	cancelled
335	257	179	175000.00	cancelled
336	141	179	175000.00	added
337	170	179	175000.00	added
338	141	179	175000.00	cancelled
339	170	179	175000.00	added
340	170	179	175000.00	added
341	170	179	175000.00	added
343	141	179	175000.00	cancelled
344	141	179	175000.00	added
345	53	179	175000.00	cancelled
346	126	179	175000.00	added
347	53	179	190000.00	cancelled
348	53	179	190000.00	cancelled
349	53	179	190000.00	cancelled
350	141	179	190000.00	cancelled
351	141	179	190000.00	cancelled
352	111	179	190000.00	cancelled
353	141	179	190000.00	cancelled
354	141	179	190000.00	added
355	53	179	190000.00	added
356	274	179	190000.00	added
357	141	179	190000.00	cancelled
358	141	179	190000.00	cancelled
359	141	179	190000.00	cancelled
360	53	179	190000.00	added
361	141	179	190000.00	cancelled
364	53	179	190000.00	added
365	53	179	190000.00	added
367	273	179	190000.00	cancelled
368	141	179	190000.00	added
369	170	179	190000.00	cancelled
370	141	179	190000.00	cancelled
371	141	179	190000.00	cancelled
372	141	179	190000.00	cancelled
373	198	179	190000.00	cancelled
374	141	179	190000.00	added
376	53	179	190000.00	added
377	325	179	190000.00	cancelled
378	325	179	190000.00	added
380	325	179	190000.00	added
381	111	179	190000.00	added
383	53	179	190000.00	added
384	141	179	190000.00	cancelled
385	198	179	190000.00	added
387	141	179	190000.00	cancelled
389	53	179	190000.00	cancelled
390	198	179	190000.00	cancelled
391	198	179	190000.00	cancelled
392	92	179	190000.00	added
393	53	179	190000.00	cancelled
394	53	179	190000.00	added
395	141	179	190000.00	added
396	141	179	190000.00	added
397	53	179	190000.00	added
398	141	179	190000.00	cancelled
